STORE_NBR,YEARMONTH,Total_Sales,Customers,Transactions,Total_Qty
1,201807,206.9,49,52,62
1,201808,176.1,42,43,54
1,201809,278.8,59,62,75
1,201810,188.1,44,45,58
1,201811,192.6,46,47,57
1,201812,189.6,42,47,57
1,201901,154.8,35,36,42
1,201902,225.4,52,55,65
1,201903,192.9,45,49,58
1,201904,192.9,42,43,57
1,201905,221.4,46,51,66
1,201906,174.1,42,42,53
2,201807,150.8,39,41,46
2,201808,193.8,39,43,55
2,201809,154.4,36,37,41
2,201810,167.8,41,43,45
2,201811,162.9,39,40,44
2,201812,136.0,35,37,40
2,201901,162.8,43,45,49
2,201902,139.4,29,32,37
2,201903,192.1,43,46,51
2,201904,196.5,47,49,56
2,201905,192.7,48,50,56
2,201906,156.6,40,42,44
3,201807,1205.7,112,138,271
3,201808,1079.75,112,131,253
3,201809,1021.5,102,119,232
3,201810,1037.9,104,119,235
3,201811,1008.0,101,118,227
3,201812,1121.6,111,129,255
3,201901,1051.7,102,119,236
3,201902,1197.7,116,136,272
3,201903,1124.4,109,129,255
3,201904,920.0,90,108,207
3,201905,996.9,108,123,234
3,201906,1037.3,105,120,238
4,201807,1399.9,128,158,318
4,201808,1259.5,123,150,290
4,201809,1198.6,119,136,276
4,201810,1346.4,123,153,310
4,201811,1212.0,118,138,278
4,201812,1185.6,104,133,266
4,201901,1525.0,134,167,335
4,201902,883.4,91,101,204
4,201903,1192.4,118,135,270
4,201904,1230.5,116,136,273
4,201905,1018.35,105,126,228
4,201906,1196.0,118,134,268
5,201807,812.0,93,120,240
5,201808,745.1,97,112,213
5,201809,896.0,101,125,250
5,201810,798.0,88,107,214
5,201811,771.4,85,111,222
5,201812,879.2,95,125,250
5,201901,838.0,92,117,236
5,201902,727.0,87,106,212
5,201903,681.4,82,97,194
5,201904,721.8,86,109,218
5,201905,720.1,84,103,201
5,201906,910.8,102,126,254
6,201807,260.0,48,51,73
6,201808,203.2,44,47,67
6,201809,207.7,38,38,57
6,201810,292.4,52,54,82
6,201811,255.3,50,51,74
6,201812,209.1,38,41,57
6,201901,191.1,35,37,51
6,201902,224.0,40,40,63
6,201903,179.5,39,40,53
6,201904,197.9,37,38,54
6,201905,257.3,49,53,78
6,201906,207.4,39,40,59
7,201807,1024.7,100,120,228
7,201808,1119.9,109,130,252
7,201809,1147.3,111,128,252
7,201810,1063.9,108,124,234
7,201811,1076.5,111,129,248
7,201812,906.1,95,112,213
7,201901,975.1,102,113,221
7,201902,1026.4,98,120,234
7,201903,1145.8,123,138,263
7,201904,942.4,85,108,211
7,201905,969.2,100,122,220
7,201906,1089.6,108,128,246
8,201807,381.6,40,43,85
8,201808,383.0,46,46,87
8,201809,293.0,36,36,70
8,201810,422.8,45,49,98
8,201811,349.2,39,40,80
8,201812,356.4,36,40,79
8,201901,445.0,47,50,100
8,201902,345.4,37,38,76
8,201903,441.40000000000003,48,51,104
8,201904,364.8,39,41,81
8,201905,375.6,46,47,85
8,201906,341.0,35,38,76
9,201807,289.7,46,50,85
9,201808,327.5,52,56,95
9,201809,369.7,55,59,107
9,201810,361.0,55,57,104
9,201811,374.4,61,65,111
9,201812,382.6,58,61,110
9,201901,399.4,65,66,117
9,201902,259.4,43,45,76
9,201903,367.6,50,54,100
9,201904,267.6,45,46,81
9,201905,345.8,54,55,102
9,201906,267.7,44,45,78
10,201807,892.0,100,122,244
10,201808,878.65,96,123,239
10,201809,945.0,112,136,278
10,201810,910.8,93,125,254
10,201811,885.0,100,128,256
10,201812,936.6,108,134,272
10,201901,878.6,102,126,252
10,201902,853.0,97,121,242
10,201903,862.0,98,120,240
10,201904,746.2,85,105,212
10,201905,762.05,90,111,219
10,201906,752.4,87,104,210
11,201810,2.9,1,1,1
11,201812,3.8,1,1,1
12,201807,429.6,47,49,98
12,201808,360.8,44,45,85
12,201809,417.6,48,49,98
12,201810,423.6,43,46,94
12,201811,456.6,49,51,102
12,201812,495.2,53,57,114
12,201901,451.8,46,49,100
12,201902,334.4,38,38,76
12,201903,491.6,47,53,106
12,201904,467.2,44,49,100
12,201905,375.5,47,48,88
12,201906,306.0,35,36,72
13,201807,811.8,97,120,240
13,201808,756.9,96,113,220
13,201809,840.0,96,123,246
13,201810,851.0,97,122,246
13,201811,1049.4,120,152,308
13,201812,878.6,106,130,264
13,201901,927.0,97,130,260
13,201902,868.0,101,125,254
13,201903,1035.6,111,147,300
13,201904,1024.4,101,140,286
13,201905,803.2,93,127,237
13,201906,840.6,94,122,244
14,201807,46.9,8,8,15
